date,symbol,side,qty,price,commission,slippage_bps,fill_model,entry_score,entry_tag
2024-10-03,CTSH,BUY,1,76.48764800000001,1.0,1.0,next_open,0.018251010041122617,pullback
2024-10-07,MAT,BUY,4,19.211921,1.0,1.0,next_open,0.012455555100642335,pullback
2024-10-08,AXTA,BUY,2,35.753575,1.0,1.0,next_open,0.019861973558504276,pullback
2024-10-10,AFRM,BUY,1,42.534253,1.0,1.0,next_open,0.22822562495029963,pullback
2024-10-11,CTSH,SELL,1,74.572542,1.0,1.0,next_open,,
2024-10-11,ROIV,BUY,6,11.921192,1.0,1.0,next_open,0.03847742877306948,pullback
2024-10-15,MAT,SELL,4,18.858114,1.0,1.0,next_open,,
2024-10-15,FAF,BUY,1,66.0066,1.0,1.0,next_open,0.03796866181265868,pullback
2024-10-15,CTSH,BUY,1,76.947694,1.0,1.0,next_open,0.01516801545143498,pullback
2024-10-16,IAC,BUY,1,53.985397999999996,1.0,1.0,next_open,0.03750970696193956,pullback
2024-10-16,D,BUY,1,58.755875,1.0,1.0,next_open,0.02288389121967349,pullback
2024-10-16,AGNC,BUY,7,10.4960495,1.0,1.0,next_open,0.020374296950081083,pullback
2024-10-22,ROIV,SELL,6,11.49885,1.0,1.0,next_open,,
2024-10-22,FAF,SELL,1,64.573542,1.0,1.0,next_open,,
2024-10-23,CTSH,SELL,1,75.632436,1.0,1.0,next_open,,
2024-10-23,AGNC,SELL,7,9.989001,1.0,1.0,next_open,,
2024-10-23,AXTA,SELL,2,34.946505,1.0,1.0,next_open,,
2024-10-24,IAC,SELL,1,52.224776999999996,1.0,1.0,next_open,,
2024-10-24,CPNG,BUY,3,25.40254,1.0,1.0,next_open,0.06295412371063791,pullback
2024-10-25,DT,BUY,1,54.205420000000004,1.0,1.0,next_open,0.05014015701489194,pullback
2024-10-31,AXTA,BUY,2,38.063806,1.0,1.0,next_open,0.08620894199017182,pullback
2024-10-31,UHAL,BUY,1,74.077407,1.0,1.0,next_open,0.03339075467261887,pullback
2024-11-04,UHAL,SELL,1,72.722727,1.0,1.0,next_open,,
2024-11-05,D,SELL,1,57.434256,1.0,1.0,next_open,,
2024-11-05,UHAL,BUY,1,74.047404,1.0,1.0,next_open,0.018922738833785813,pullback
2024-11-06,HBAN,BUY,4,16.741674,1.0,1.0,next_open,0.04320036728393217,pullback
2024-11-07,CPNG,SELL,3,24.267573,1.0,1.0,next_open,,
2024-11-08,MAT,BUY,3,19.271926999999998,1.0,1.0,next_open,0.03571235511119475,pullback
2024-11-11,DT,SELL,1,53.504649,1.0,1.0,next_open,,
2024-11-13,UHAL,SELL,1,72.122787,1.0,1.0,next_open,,
2024-11-13,MAT,SELL,3,18.968103,1.0,1.0,next_open,,
2024-11-14,CPNG,BUY,2,25.812580999999998,1.0,1.0,next_open,0.07574314373625757,pullback
2024-11-18,CPNG,SELL,2,24.357564,1.0,1.0,next_open,,
2024-11-22,GAP,BUY,2,25.80258,1.0,1.0,next_open,0.07644881016247085,pullback
2024-11-22,D,BUY,1,58.655865,1.0,1.0,next_open,0.010720097474345214,pullback
2024-11-25,DT,BUY,1,55.755575,1.0,1.0,next_open,0.06042353240468612,pullback
2024-12-03,D,SELL,1,57.694230000000005,1.0,1.0,next_open,,
2024-12-13,CNP,BUY,2,31.923192,1.0,1.0,next_open,0.053363303138634355,pullback
2024-12-16,DT,SELL,1,54.574542,1.0,1.0,next_open,,
2024-12-16,AXTA,SELL,2,38.156183999999996,1.0,1.0,next_open,,
2024-12-19,HBAN,SELL,4,16.178382,1.0,1.0,next_open,,
2025-01-03,ROIV,BUY,6,12.131213,1.0,1.0,next_open,0.025246169544996144,pullback
2025-01-06,ROIV,SELL,6,11.673832500000001,1.0,1.0,next_open,,
2025-01-07,CNP,SELL,2,31.076891999999997,1.0,1.0,next_open,,
2025-01-10,AFRM,SELL,1,57.33426600000001,1.0,1.0,next_open,,
2025-01-14,GAP,SELL,2,23.167683,1.0,1.0,next_open,,
2025-01-15,CNP,BUY,2,32.153214999999996,1.0,1.0,next_open,0.02142621885943896,pullback
2025-01-17,RBRK,BUY,1,69.60696,1.0,1.0,next_open,0.17949196723414196,pullback
2025-01-22,GAP,BUY,2,24.90249,1.0,1.0,next_open,0.061437681234313146,pullback
2025-02-03,GAP,SELL,2,23.047695,1.0,1.0,next_open,,
2025-02-12,UHAL,BUY,1,71.427142,1.0,1.0,next_open,0.023857378301546328,pullback
2025-02-24,RBRK,SELL,1,69.253074,1.0,1.0,next_open,,
2025-02-25,UHAL,SELL,1,70.862913,1.0,1.0,next_open,,
2025-02-27,CPNG,BUY,2,24.992499,1.0,1.0,next_open,0.07555307705747893,pullback
2025-03-06,REXR,BUY,1,40.994099,1.0,1.0,next_open,0.04419215142705668,pullback
2025-03-07,CPNG,SELL,2,23.137686000000002,1.0,1.0,next_open,,
2025-03-10,AGNC,BUY,6,10.321032,1.0,1.0,next_open,0.06909964132128976,pullback
2025-03-11,REXR,SELL,1,39.916008000000005,1.0,1.0,next_open,,
2025-03-11,D,BUY,1,56.695668999999995,1.0,1.0,next_open,0.0394302487203112,pullback
2025-03-13,D,SELL,1,53.914608,1.0,1.0,next_open,,
2025-03-18,IAC,BUY,1,46.904689999999995,1.0,1.0,next_open,0.09433112896909479,pullback
2025-03-18,FAF,BUY,1,64.74647399999999,1.0,1.0,next_open,0.03401803034284756,pullback
2025-03-19,REXR,BUY,1,40.654064999999996,1.0,1.0,next_open,0.015937994131660194,pullback
2025-03-20,CPNG,BUY,3,23.0023,1.0,1.0,next_open,0.040023831764004925,pullback
2025-03-21,CPNG,SELL,3,22.967703,1.0,1.0,next_open,,
2025-03-24,REXR,SELL,1,39.206079,1.0,1.0,next_open,,
2025-03-24,CPNG,BUY,2,23.812381,1.0,1.0,next_open,0.002839553264700201,pullback
2025-03-26,AGNC,SELL,6,9.949005,1.0,1.0,next_open,,
2025-03-31,CPNG,SELL,2,21.947805,1.0,1.0,next_open,,
2025-04-02,IAC,SELL,1,38.536146,1.0,1.0,next_open,,
2025-04-07,FAF,SELL,1,59.734026,1.0,1.0,next_open,,
2025-04-25,ROIV,BUY,6,10.911091,1.0,1.0,next_open,-0.0001234732872435182,donchian
2025-04-30,AFRM,BUY,1,47.66476599999999,1.0,1.0,next_open,9.95148803531743e-05,donchian
2025-05-05,CPNG,BUY,2,23.892389,1.0,1.0,next_open,0.0003030418476667641,donchian
2025-05-05,AXTA,BUY,2,32.873287,1.0,1.0,next_open,-0.00033805128288832325,donchian
2025-05-05,HBAN,BUY,4,14.941493999999999,1.0,1.0,next_open,-0.0005869876404325128,donchian
2025-05-09,AXTA,SELL,2,31.286870999999998,1.0,1.0,next_open,,
2025-05-12,AFRM,SELL,1,49.9700025,1.0,1.0,next_open,,
2025-05-12,ROIV,SELL,6,10.638936000000001,1.0,1.0,next_open,,
2025-05-13,ROIV,BUY,6,10.991099,1.0,1.0,next_open,0.058491795392858315,pullback
2025-05-13,MAT,BUY,3,19.10191,1.0,1.0,next_open,0.0007329606772518724,donchian
2025-05-13,DT,BUY,1,50.245024,1.0,1.0,next_open,-0.0008435264496745026,donchian
2025-05-13,UHAL,BUY,1,66.746674,1.0,1.0,next_open,-0.0009762525203288872,donchian
2025-05-13,REXR,BUY,1,35.843584,1.0,1.0,next_open,-0.005895860803520411,donchian
2025-05-13,IAC,BUY,1,39.493949,1.0,1.0,next_open,-0.006245311793680619,donchian
2025-05-22,UHAL,SELL,1,61.083891,1.0,1.0,next_open,,
2025-05-27,IAC,SELL,1,36.946305,1.0,1.0,next_open,,
2025-05-30,AFRM,BUY,1,51.615161,1.0,1.0,next_open,0.10711292112563331,pullback
2025-06-03,MAT,SELL,3,18.538145999999998,1.0,1.0,next_open,,
2025-06-05,CNP,SELL,2,36.986301000000005,1.0,1.0,next_open,,
2025-06-23,MAT,BUY,3,18.931893,1.0,1.0,next_open,0.08190682522712078,pullback
2025-06-24,D,BUY,1,55.785578,1.0,1.0,next_open,0.04449342458489702,pullback
2025-06-26,REXR,SELL,1,35.886411,1.0,1.0,next_open,,
2025-06-27,IAC,BUY,1,37.123712,1.0,1.0,next_open,0.025681507934804615,pullback
2025-06-27,FAF,BUY,1,60.976096999999996,1.0,1.0,next_open,-2.7560334012889243e-05,donchian
2025-07-02,ROIV,SELL,6,10.888911,1.0,1.0,next_open,,
2025-07-02,AGNC,BUY,7,9.3459345,1.0,1.0,next_open,0.03772832559997863,pullback
2025-07-03,REXR,BUY,1,37.203720000000004,1.0,1.0,next_open,0.05513867400362438,pullback
2025-07-11,DT,SELL,1,52.69473,1.0,1.0,next_open,,
2025-07-11,FAF,SELL,1,56.284371,1.0,1.0,next_open,,
2025-07-16,HBAN,SELL,4,16.648335,1.0,1.0,next_open,,
2025-07-18,REXR,SELL,1,35.476451999999995,1.0,1.0,next_open,,
2025-07-21,CNP,BUY,1,37.263726,1.0,1.0,next_open,0.0011789665060441524,donchian
2025-07-22,REXR,BUY,1,36.933693,1.0,1.0,next_open,0.024771374328843687,pullback
2025-07-23,UHAL,BUY,1,64.326432,1.0,1.0,next_open,-0.0007900427299018471,donchian
2025-07-25,MAT,SELL,3,17.0532945,1.0,1.0,next_open,,
2025-07-30,CPNG,SELL,2,30.086991,1.0,1.0,next_open,,
2025-07-31,UHAL,SELL,1,58.604138999999996,1.0,1.0,next_open,,
2025-08-04,REXR,SELL,1,36.056394000000004,1.0,1.0,next_open,,
2025-08-05,ROIV,BUY,5,11.50115,1.0,1.0,next_open,0.026591506766108552,pullback
2025-08-06,IAC,SELL,1,34.106589,1.0,1.0,next_open,,
2025-08-06,REXR,BUY,1,36.80368,1.0,1.0,next_open,0.03191645673389765,pullback
2025-08-06,FAF,BUY,1,62.736273,1.0,1.0,next_open,6.29449337388302e-05,donchian
2025-08-11,SNDK,BUY,1,45.704570000000004,1.0,1.0,next_open,0.06804605384898754,pullback
2025-08-12,REXR,SELL,1,36.746325,1.0,1.0,next_open,,
2025-08-12,AGNC,SELL,7,9.39906,1.0,1.0,next_open,,
2025-08-12,ROIV,SELL,5,11.29887,1.0,1.0,next_open,,
2025-08-13,ROIV,BUY,5,11.60116,1.0,1.0,next_open,0.044687368256241644,pullback
2025-08-13,REXR,BUY,1,36.993699,1.0,1.0,next_open,0.02304586673048148,pullback
2025-08-14,AGNC,BUY,6,9.589958900000001,1.0,1.0,next_open,0.03323661303086267,pullback
2025-08-14,HBAN,BUY,3,16.601660000000003,1.0,1.0,next_open,0.014310367023644521,pullback
2025-08-14,GAP,BUY,3,20.70207,1.0,1.0,next_open,-5.17567488141531e-05,donchian
2025-08-19,CNP,SELL,1,37.726226999999994,1.0,1.0,next_open,,
2025-08-20,AXTA,BUY,2,30.963096,1.0,1.0,next_open,-0.00033714841152176133,donchian
2025-09-04,D,SELL,1,59.424057,1.0,1.0,next_open,,
2025-09-08,MAT,BUY,3,18.711871000000002,1.0,1.0,next_open,1.1066771566311683e-05,donchian
2025-09-16,MAT,SELL,3,17.478252,1.0,1.0,next_open,,
2025-09-18,AXTA,SELL,2,30.726927,1.0,1.0,next_open,,
2025-09-22,GAP,SELL,3,22.427757,1.0,1.0,next_open,,
2025-09-23,AGNC,SELL,6,9.749025,1.0,1.0,next_open,,
2025-09-24,CNP,BUY,1,39.0039,1.0,1.0,next_open,0.00039490229306169447,donchian
2025-09-26,AFRM,SELL,1,77.9922,1.0,1.0,next_open,,
2025-09-26,FAF,SELL,1,64.583541,1.0,1.0,next_open,,
2025-10-02,HBAN,SELL,3,17.038296,1.0,1.0,next_open,,
2025-10-06,AGNC,BUY,7,10.061006,1.0,1.0,next_open,0.027370382884647104,pullback
2025-10-13,REXR,SELL,1,39.886011,1.0,1.0,next_open,,
2025-10-13,D,BUY,1,60.766076,1.0,1.0,next_open,0.01238736783784522,pullback
2025-10-15,KO,BUY,1,67.2717265,1.0,1.0,next_open,-3.006208721866232e-05,donchian
2025-10-16,REXR,BUY,1,43.254325,1.0,1.0,next_open,0.0485604489488326,pullback
2025-10-24,GAP,BUY,3,23.172317000000003,1.0,1.0,next_open,0.0007024624472437816,donchian
2025-10-24,MAT,BUY,4,19.191919000000002,1.0,1.0,next_open,8.680534124229456e-05,donchian
2025-10-29,D,SELL,1,59.514048,1.0,1.0,next_open,,
2025-10-29,CPNG,BUY,2,31.983198,1.0,1.0,next_open,0.025060621640812797,pullback
2025-10-30,REXR,SELL,1,41.205879,1.0,1.0,next_open,,
2025-10-30,CNP,SELL,1,39.036096,1.0,1.0,next_open,,
2025-10-31,AGNC,SELL,7,9.949005,1.0,1.0,next_open,,
2025-11-03,DT,BUY,1,50.655065,1.0,1.0,next_open,0.038041086314696826,pullback
2025-11-05,AGNC,BUY,7,10.181018,1.0,1.0,next_open,0.016784623447282265,pullback
2025-11-06,DT,SELL,1,47.595240000000004,1.0,1.0,next_open,,
2025-11-06,CPNG,SELL,2,29.707029000000002,1.0,1.0,next_open,,
2025-11-06,BBY,BUY,1,80.888088,1.0,1.0,next_open,0.05539658844248718,pullback
2025-11-10,CNP,BUY,2,39.183918,1.0,1.0,next_open,0.025816746498370846,pullback
2025-11-14,BBY,SELL,1,77.152284,1.0,1.0,next_open,,
2025-11-19,CTSH,BUY,1,71.977197,1.0,1.0,next_open,0.039457469324313266,pullback
2025-11-21,D,BUY,1,61.156115,1.0,1.0,next_open,0.007164481788373034,pullback
2025-12-02,CNP,SELL,2,39.276072,1.0,1.0,next_open,,
2025-12-02,IAC,BUY,2,35.703570000000006,1.0,1.0,next_open,-0.0007726816207606205,donchian
2025-12-03,D,SELL,1,60.503949,1.0,1.0,next_open,,
2025-12-08,KO,SELL,1,69.833016,1.0,1.0,next_open,,
2025-12-11,HBAN,BUY,4,17.50175,1.0,1.0,next_open,0.0019503412395404979,donchian
2025-12-11,UHAL,BUY,1,54.245424,1.0,1.0,next_open,-2.3979569776891845e-05,donchian
2025-12-23,MAT,SELL,4,19.808018999999998,1.0,1.0,next_open,,
2025-12-30,UHAL,SELL,1,50.444955,1.0,1.0,next_open,,
2025-12-30,GAP,SELL,3,25.937406000000003,1.0,1.0,next_open,,
2026-01-02,HBAN,SELL,4,17.378262,1.0,1.0,next_open,,
2026-01-06,HBAN,BUY,5,17.881788,1.0,1.0,next_open,0.08574706045192093,pullback
2026-01-06,TRU,BUY,1,83.01830100000001,1.0,1.0,next_open,0.06398768471045746,pullback
2026-01-06,MAT,BUY,4,20.572057,1.0,1.0,next_open,0.05347167549435583,pullback
